# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
3791	TUSTOSP	Tongan Pa'anga To United States Dollar Spot	Tonga	FX	Refinitiv	Datastream	TUSTOSP	B	3791	USD	TOP	USDTOP	0m	Outright
3792	TUSTOSR	Thai Baht To United States Dollar Spot	Thailand	FX	Refinitiv	Datastream	TUSTOSR	B	3792	USD	THB	USDTHB	0m	Outright
3793	TUSWSSR	United States Dollar To Samoan Tala Spot	United States	FX	Refinitiv	Datastream	TUSWSSR	B	3793	WST	USD	WSTUSD	0m	Outright
3794	U$AUD1M	Australian Dollar To United States Dollar 1 Month Forward	Australia	FX	Refinitiv	Datastream	U$AUD1M	B	3794	USD	AUD	USDAUD	1m	Outright
3795	U$AUD1Y	Australian Dollar To United States Dollar 1 Year Forward	Australia	FX	Refinitiv	Datastream	U$AUD1Y	B	3795	USD	AUD	USDAUD	1y	Outright
3796	U$AUD2M	Australian Dollar To United States Dollar 2 Month Forward	Australia	FX	Refinitiv	Datastream	U$AUD2M	B	3796	USD	AUD	USDAUD	2m	Outright
3797	U$AUD2W	Australian Dollar To United States Dollar 2 Week Forward	Australia	FX	Refinitiv	Datastream	U$AUD2W	B	3797	USD	AUD	USDAUD	2w	Outright
3798	U$AUD3M	Australian Dollar To United States Dollar 3 Month Forward	Australia	FX	Refinitiv	Datastream	U$AUD3M	B	3798	USD	AUD	USDAUD	3m	Outright
3799	U$AUD3W	Australian Dollar To United States Dollar 3 Week Forward	Australia	FX	Refinitiv	Datastream	U$AUD3W	B	3799	USD	AUD	USDAUD	3w	Outright
3800	U$AUD6M	Australian Dollar To United States Dollar 6 Month Forward	Australia	FX	Refinitiv	Datastream	U$AUD6M	B	3800	USD	AUD	USDAUD	6m	Outright
3801	U$AUD9M	Australian Dollar To United States Dollar 9 Month Forward	Australia	FX	Refinitiv	Datastream	U$AUD9M	B	3801	USD	AUD	USDAUD	9m	Outright
3802	U$THBSP	Thai Baht To United States Dollar Spot	Thailand	FX	Refinitiv	Datastream	U$THBSP	B	3802	USD	THB	USDTHB	0m	Outright
3803	UKDOLLR	United Kingdom Pound To United States Dollar Spot	United Kingdom	FX	Refinitiv	Datastream	UKDOLLR	B	3803	USD	GBP	USDGBP	0m	Outright
3804	USVENBD	Venezuelan Bolivar Soberano To United States Dollar Spot	Venezuela	FX	Refinitiv	Datastream	USVENBD	B	3804	USD	VES	USDVES	0m	Outright
3805	USVENBS	Venezuelan Bolivar Soberano To United States Dollar Spot	Venezuela	FX	Refinitiv	Datastream	USVENBS	B	3805	USD	VES	USDVES	0m	Outright
3806	USZWLSP	Zimbabwean Dollar To United States Dollar Spot	Zimbabwe	FX	Refinitiv	Datastream	USZWLSP	B	3806	USD	ZWD	USDZWD	0m	Outright
3807	VENBSUS	United States Dollar To Venezuelan Bolivar Soberano Spot	United States	FX	Refinitiv	Datastream	VENBSUS	B	3807	VES	USD	VESUSD	0m	Outright
3808	ZIUSDSP	Zimbabwean Dollar To United States Dollar Spot	Zimbabwe	FX	Refinitiv	Datastream	ZIUSDSP	B	3808	USD	ZWD	USDZWD	0m	Outright
3809	BRL$2YF	Brazilian Real To United States Dollar 2 Year Forward	Brazil	FX	Refinitiv	Datastream	BRL$2YF	B	3809	USD	BRL	USDBRL	2y	Outright
3810	BRL$3YF	Brazilian Real To United States Dollar 3 Year Forward	Brazil	FX	Refinitiv	Datastream	BRL$3YF	B	3810	USD	BRL	USDBRL	3y	Outright
3811	BRL$4YF	Brazilian Real To United States Dollar 4 Year Forward	Brazil	FX	Refinitiv	Datastream	BRL$4YF	B	3811	USD	BRL	USDBRL	4y	Outright
3812	BRL$5YF	Brazilian Real To United States Dollar 5 Year Forward	Brazil	FX	Refinitiv	Datastream	BRL$5YF	B	3812	USD	BRL	USDBRL	5y	Outright
3813	BRU$2YF	Brazilian Real To United States Dollar 2 Year Forward	Brazil	FX	Refinitiv	Datastream	BRU$2YF	B	3813	USD	BRL	USDBRL	2y	Outright
3814	BRU$3YF	Brazilian Real To United States Dollar 3 Year Forward	Brazil	FX	Refinitiv	Datastream	BRU$3YF	B	3814	USD	BRL	USDBRL	3y	Outright
3815	BRU$4YF	Brazilian Real To United States Dollar 4 Year Forward	Brazil	FX	Refinitiv	Datastream	BRU$4YF	B	3815	USD	BRL	USDBRL	4y	Outright
3816	BRU$5YF	Brazilian Real To United States Dollar 5 Year Forward	Brazil	FX	Refinitiv	Datastream	BRU$5YF	B	3816	USD	BRL	USDBRL	5y	Outright
3817	CLUSBDC	United States Dollar To Chilean Peso Spot	United States	FX	Refinitiv	Datastream	CLUSBDC	B	3817	CLP	USD	CLPUSD	0m	Outright
3818	ECSCOUS	United States Dollar To Ecuadorian Sucre Spot	United States	FX	Refinitiv	Datastream	ECSCOUS	B	3818	ECS	USD	ECSUSD	0m	Outright
3819	ECUESUS	United States Dollar To European Currency Unit Spot	United States	FX	Refinitiv	Datastream	ECUESUS	B	3819	ECU	USD	ECUUSD	0m	Outright
3820	ECUNIT$	Euro To United States Dollar Spot	Eurozone	FX	Refinitiv	Datastream	ECUNIT$	B	3820	USD	EUR	USDEUR	0m	Outright
3821	EMUSDWD	Euro To United States Dollar Spot	Eurozone	FX	Refinitiv	Datastream	EMUSDWD	B	3821	USD	EUR	USDEUR	0m	Outright
3822	FLUSDLR	United States Dollar To Dutch Guilder Spot	United States	FX	Refinitiv	Datastream	FLUSDLR	B	3822	NLG	USD	NLGUSD	0m	Outright
3823	ICEKRX$	Icelandic Krona To United States Dollar Spot	Iceland	FX	WM/Refinitiv	Datastream	ICEKRX$	B	3823	USD	ISK	USDISK	0m	Outright
3824	ILS10MV	Israeli Sheqel To United States Dollar 10 Month Forward	Israel	FX	Refinitiv	Datastream	ILS10MV	B	3824	USD	ILS	USDILS	10m	Outright
3825	ILS11MV	Israeli Sheqel To United States Dollar 11 Month Forward	Israel	FX	Refinitiv	Datastream	ILS11MV	B	3825	USD	ILS	USDILS	11m	Outright
3826	INUSDRB	United States Dollar To Indian Rupee Spot	United States	FX	Refinitiv	Datastream	INUSDRB	B	3826	INR	USD	INRUSD	0m	Outright
3827	ITUSDSP	Italian Lira To United States Dollar Spot	Italy	FX	Refinitiv	Datastream	ITUSDSP	B	3827	USD	ITL	USDITL	0m	Outright
3828	JPMERPT	United States Dollar To Portuguese Escudo Spot	United States	FX	Refinitiv	Datastream	JPMERPT	B	3828	PTE	USD	PTEUSD	0m	Outright
3829	MXN10MV	Mexican Peso To United States Dollar 10 Month Forward	Mexico	FX	Refinitiv	Datastream	MXN10MV	B	3829	USD	MXN	USDMXN	10m	Outright
3830	MXN11MV	Mexican Peso To United States Dollar 11 Month Forward	Mexico	FX	Refinitiv	Datastream	MXN11MV	B	3830	USD	MXN	USDMXN	11m	Outright
3831	MXN15MV	Mexican Peso To United States Dollar 15 Month Forward	Mexico	FX	Refinitiv	Datastream	MXN15MV	B	3831	USD	MXN	USDMXN	15m	Outright
3832	MXN18MV	Mexican Peso To United States Dollar 18 Month Forward	Mexico	FX	Refinitiv	Datastream	MXN18MV	B	3832	USD	MXN	USDMXN	18m	Outright
3833	MXN21MV	Mexican Peso To United States Dollar 21 Month Forward	Mexico	FX	Refinitiv	Datastream	MXN21MV	B	3833	USD	MXN	USDMXN	21m	Outright
3834	MXPSUF.	Mexican Unidad de Inversion To United States Dollar Spot	Mexico	FX	Refinitiv	Datastream	MXPSUF.	B	3834	USD	MXV	USDMXV	0m	Outright
3835	NZD30MV	United States Dollar To New Zealand Dollar 30 Month Forward	United States	FX	Refinitiv	Datastream	NZD30MV	B	3835	NZD	USD	NZDUSD	30m	Outright
3836	NZDUSDS	United States Dollar To New Zealand Dollar Spot	United States	FX	Refinitiv	Datastream	NZDUSDS	B	3836	NZD	USD	NZDUSD	0m	Outright
3837	POLUS01	United States Dollar To Polish Zloty Spot	United States	FX	Refinitiv	Datastream	POLUS01	B	3837	PLN	USD	PLNUSD	0m	Outright
3838	PTUSDSP	Portuguese Escudo To United States Dollar Spot	Portugal	FX	Refinitiv	Datastream	PTUSDSP	B	3838	USD	PTE	USDPTE	0m	Outright
3839	RILS2YV	Israeli Sheqel To United States Dollar 2 Year Forward	Israel	FX	Refinitiv	Datastream	RILS2YV	B	3839	USD	ILS	USDILS	2y	Outright
3840	RILS4MV	Israeli Sheqel To United States Dollar 4 Month Forward	Israel	FX	Refinitiv	Datastream	RILS4MV	B	3840	USD	ILS	USDILS	4m	Outright
3841	RILS5MV	Israeli Sheqel To United States Dollar 5 Month Forward	Israel	FX	Refinitiv	Datastream	RILS5MV	B	3841	USD	ILS	USDILS	5m	Outright
3842	RILS7MV	Israeli Sheqel To United States Dollar 7 Month Forward	Israel	FX	Refinitiv	Datastream	RILS7MV	B	3842	USD	ILS	USDILS	7m	Outright
3843	RILS8MV	Israeli Sheqel To United States Dollar 8 Month Forward	Israel	FX	Refinitiv	Datastream	RILS8MV	B	3843	USD	ILS	USDILS	8m	Outright
3844	RILSONV	Israeli Sheqel To United States Dollar Overnight	Israel	FX	Refinitiv	Datastream	RILSONV	B	3844	USD	ILS	USDILS	ON	Outright
3845	RILSSNV	Israeli Sheqel To United States Dollar Tomorrow-Next	Israel	FX	Refinitiv	Datastream	RILSSNV	B	3845	USD	ILS	USDILS	TN	Outright
3846	RILSSWV	Israeli Sheqel To United States Dollar Spot-Week	Israel	FX	Refinitiv	Datastream	RILSSWV	B	3846	USD	ILS	USDILS	SW	Outright
3847	RILSTNV	Israeli Sheqel To United States Dollar Tomorrow-Next	Israel	FX	Refinitiv	Datastream	RILSTNV	B	3847	USD	ILS	USDILS	TN	Outright
3848	RMXN4MV	Mexican Peso To United States Dollar 4 Month Forward	Mexico	FX	Refinitiv	Datastream	RMXN4MV	B	3848	USD	MXN	USDMXN	4m	Outright
3849	RMXN4YV	Mexican Peso To United States Dollar 4 Year Forward	Mexico	FX	Refinitiv	Datastream	RMXN4YV	B	3849	USD	MXN	USDMXN	4y	Outright
3850	RMXN5MV	Mexican Peso To United States Dollar 5 Month Forward	Mexico	FX	Refinitiv	Datastream	RMXN5MV	B	3850	USD	MXN	USDMXN	5m	Outright
3851	RMXN7MV	Mexican Peso To United States Dollar 7 Month Forward	Mexico	FX	Refinitiv	Datastream	RMXN7MV	B	3851	USD	MXN	USDMXN	7m	Outright
3852	RMXN8MV	Mexican Peso To United States Dollar 8 Month Forward	Mexico	FX	Refinitiv	Datastream	RMXN8MV	B	3852	USD	MXN	USDMXN	8m	Outright
3853	RMXNSNV	Mexican Peso To United States Dollar Tomorrow-Next	Mexico	FX	Refinitiv	Datastream	RMXNSNV	B	3853	USD	MXN	USDMXN	TN	Outright
3854	RMXNSWV	Mexican Peso To United States Dollar Spot-Week	Mexico	FX	Refinitiv	Datastream	RMXNSWV	B	3854	USD	MXN	USDMXN	SW	Outright
3855	RNZDSNV	United States Dollar To New Zealand Dollar Tomorrow-Next	United States	FX	Refinitiv	Datastream	RNZDSNV	B	3855	NZD	USD	NZDUSD	TN	Outright
3856	RNZDSWV	United States Dollar To New Zealand Dollar Spot-Week	United States	FX	Refinitiv	Datastream	RNZDSWV	B	3856	NZD	USD	NZDUSD	SW	Outright
3857	RON10MV	Romanian Leu To United States Dollar 10 Month Forward	Romania	FX	Refinitiv	Datastream	RON10MV	B	3857	USD	RON	USDRON	10m	Outright
3858	RON11MV	Romanian Leu To United States Dollar 11 Month Forward	Romania	FX	Refinitiv	Datastream	RON11MV	B	3858	USD	RON	USDRON	11m	Outright
3859	RON15MV	Romanian Leu To United States Dollar 15 Month Forward	Romania	FX	Refinitiv	Datastream	RON15MV	B	3859	USD	RON	USDRON	15m	Outright
3860	RON18MV	Romanian Leu To United States Dollar 18 Month Forward	Romania	FX	Refinitiv	Datastream	RON18MV	B	3860	USD	RON	USDRON	18m	Outright
3861	RON21MV	Romanian Leu To United States Dollar 21 Month Forward	Romania	FX	Refinitiv	Datastream	RON21MV	B	3861	USD	RON	USDRON	21m	Outright
3862	RRON2YV	Romanian Leu To United States Dollar 2 Year Forward	Romania	FX	Refinitiv	Datastream	RRON2YV	B	3862	USD	RON	USDRON	2y	Outright
3863	RRON3YV	Romanian Leu To United States Dollar 3 Year Forward	Romania	FX	Refinitiv	Datastream	RRON3YV	B	3863	USD	RON	USDRON	3y	Outright
3864	RRON4MV	Romanian Leu To United States Dollar 4 Month Forward	Romania	FX	Refinitiv	Datastream	RRON4MV	B	3864	USD	RON	USDRON	4m	Outright
3865	RRON5MV	Romanian Leu To United States Dollar 5 Month Forward	Romania	FX	Refinitiv	Datastream	RRON5MV	B	3865	USD	RON	USDRON	5m	Outright
3866	RRON5YV	Romanian Leu To United States Dollar 5 Year Forward	Romania	FX	Refinitiv	Datastream	RRON5YV	B	3866	USD	RON	USDRON	5y	Outright
3867	RRON7MV	Romanian Leu To United States Dollar 7 Month Forward	Romania	FX	Refinitiv	Datastream	RRON7MV	B	3867	USD	RON	USDRON	7m	Outright
3868	RRON8MV	Romanian Leu To United States Dollar 8 Month Forward	Romania	FX	Refinitiv	Datastream	RRON8MV	B	3868	USD	RON	USDRON	8m	Outright
3869	RRONONV	Romanian Leu To United States Dollar Overnight	Romania	FX	Refinitiv	Datastream	RRONONV	B	3869	USD	RON	USDRON	ON	Outright
3870	RRONSNV	Romanian Leu To United States Dollar Tomorrow-Next	Romania	FX	Refinitiv	Datastream	RRONSNV	B	3870	USD	RON	USDRON	TN	Outright
3871	RRONSWV	Romanian Leu To United States Dollar Spot-Week	Romania	FX	Refinitiv	Datastream	RRONSWV	B	3871	USD	RON	USDRON	SW	Outright
3872	RRONTNV	Romanian Leu To United States Dollar Tomorrow-Next	Romania	FX	Refinitiv	Datastream	RRONTNV	B	3872	USD	RON	USDRON	TN	Outright
3873	SURINGO	Surinamese Dollar To United States Dollar Spot	Suriname	FX	WM/Refinitiv	Datastream	SURINGO	B	3873	USD	SRD	USDSRD	0m	Outright
3874	TCNHFIX	Chinese Yuan Renminbi To United States Dollar Spot	China	FX	Refinitiv	Datastream	TCNHFIX	B	3874	USD	CNY	USDCNY	0m	Outright
3875	TDAEDON	United Arab Emirates Dirham To United States Dollar Overnight	United Arab Emirates	FX	Refinitiv	Datastream	TDAEDON	B	3875	USD	AED	USDAED	ON	Outright
3876	TDAEDTN	United Arab Emirates Dirham To United States Dollar Tomorrow-Next	United Arab Emirates	FX	Refinitiv	Datastream	TDAEDTN	B	3876	USD	AED	USDAED	TN	Outright
3877	TDANGSP	Netherlands Antillean Guilder To United States Dollar Spot	Dutch Antilles	FX	Refinitiv	Datastream	TDANGSP	B	3877	USD	ANG	USDANG	0m	Outright
3878	TDAUD11	United States Dollar To Australian Dollar 11 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD11	B	3878	AUD	USD	AUDUSD	11m	Outright
3879	TDAUD12	United States Dollar To Australian Dollar 12 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD12	B	3879	AUD	USD	AUDUSD	12y	Outright
3880	TDAUD18	United States Dollar To Australian Dollar 18 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD18	B	3880	AUD	USD	AUDUSD	18m	Outright
3881	TDAUD21	United States Dollar To Australian Dollar 21 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD21	B	3881	AUD	USD	AUDUSD	21m	Outright
3882	TDAUD2Y	United States Dollar To Australian Dollar 2 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD2Y	B	3882	AUD	USD	AUDUSD	2y	Outright
3883	TDAUD3Y	United States Dollar To Australian Dollar 3 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD3Y	B	3883	AUD	USD	AUDUSD	3y	Outright
3884	TDAUD4M	United States Dollar To Australian Dollar 4 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD4M	B	3884	AUD	USD	AUDUSD	4m	Outright
3885	TDAUD4Y	United States Dollar To Australian Dollar 4 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD4Y	B	3885	AUD	USD	AUDUSD	4y	Outright
3886	TDAUD5M	United States Dollar To Australian Dollar 5 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD5M	B	3886	AUD	USD	AUDUSD	5m	Outright
3887	TDAUD5Y	United States Dollar To Australian Dollar 5 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD5Y	B	3887	AUD	USD	AUDUSD	5y	Outright
3888	TDAUD6Y	United States Dollar To Australian Dollar 6 Year Forward	Australia	FX	Refinitiv	Datastream	TDAUD6Y	B	3888	AUD	USD	AUDUSD	6y	Outright
3889	TDAUD7M	United States Dollar To Australian Dollar 7 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD7M	B	3889	AUD	USD	AUDUSD	7m	Outright
3890	TDAUD7Y	United States Dollar To Australian Dollar 7 Year Forward	Australia	FX	Refinitiv	Datastream	TDAUD7Y	B	3890	AUD	USD	AUDUSD	7y	Outright
3891	TDAUD8M	United States Dollar To Australian Dollar 8 Month Forward	United States	FX	Refinitiv	Datastream	TDAUD8M	B	3891	AUD	USD	AUDUSD	8m	Outright
3892	TDAUD8Y	United States Dollar To Australian Dollar 8 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD8Y	B	3892	AUD	USD	AUDUSD	8y	Outright
3893	TDAUD9Y	United States Dollar To Australian Dollar 9 Year Forward	United States	FX	Refinitiv	Datastream	TDAUD9Y	B	3893	AUD	USD	AUDUSD	9y	Outright
3894	TDAUDFM	United States Dollar To Australian Dollar 15 Month Forward	United States	FX	Refinitiv	Datastream	TDAUDFM	B	3894	AUD	USD	AUDUSD	15m	Outright
3895	TDAUDFY	United States Dollar To Australian Dollar 15 Year Forward	United States	FX	Refinitiv	Datastream	TDAUDFY	B	3895	AUD	USD	AUDUSD	15y	Outright
3896	TDAUDON	United States Dollar To Australian Dollar Overnight	United States	FX	Refinitiv	Datastream	TDAUDON	B	3896	AUD	USD	AUDUSD	ON	Outright
3897	TDAUDSN	United States Dollar To Australian Dollar Tomorrow-Next	United States	FX	Refinitiv	Datastream	TDAUDSN	B	3897	AUD	USD	AUDUSD	TN	Outright
3898	TDAUDTN	United States Dollar To Australian Dollar Tomorrow-Next	United States	FX	Refinitiv	Datastream	TDAUDTN	B	3898	AUD	USD	AUDUSD	TN	Outright
3899	TDAUDXM	United States Dollar To Australian Dollar 10 Month Forward	United States	FX	Refinitiv	Datastream	TDAUDXM	B	3899	AUD	USD	AUDUSD	10m	Outright
3900	TDAUDXY	United States Dollar To Australian Dollar 10 Year Forward	Australia	FX	Refinitiv	Datastream	TDAUDXY	B	3900	AUD	USD	AUDUSD	10y	Outright
3901	TDBSDSP	Bahamian Dollar To United States Dollar Spot	Bahamas	FX	Refinitiv	Datastream	TDBSDSP	B	3901	USD	BSD	USDBSD	0m	Outright
3902	TDCAD11	Canadian Dollar To United States Dollar 11 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD11	B	3902	USD	CAD	USDCAD	11m	Outright
3903	TDCAD18	Canadian Dollar To United States Dollar 18 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD18	B	3903	USD	CAD	USDCAD	18m	Outright
3904	TDCAD2Y	Canadian Dollar To United States Dollar 2 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD2Y	B	3904	USD	CAD	USDCAD	2y	Outright
3905	TDCAD3Y	Canadian Dollar To United States Dollar 3 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD3Y	B	3905	USD	CAD	USDCAD	3y	Outright
3906	TDCAD4M	Canadian Dollar To United States Dollar 4 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD4M	B	3906	USD	CAD	USDCAD	4m	Outright
3907	TDCAD4Y	Canadian Dollar To United States Dollar 4 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD4Y	B	3907	USD	CAD	USDCAD	4y	Outright
3908	TDCAD5M	Canadian Dollar To United States Dollar 5 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD5M	B	3908	USD	CAD	USDCAD	5m	Outright
3909	TDCAD5Y	Canadian Dollar To United States Dollar 5 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD5Y	B	3909	USD	CAD	USDCAD	5y	Outright
3910	TDCAD6Y	Canadian Dollar To United States Dollar 6 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD6Y	B	3910	USD	CAD	USDCAD	6y	Outright
3911	TDCAD7M	Canadian Dollar To United States Dollar 7 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD7M	B	3911	USD	CAD	USDCAD	7m	Outright
3912	TDCAD7Y	Canadian Dollar To United States Dollar 7 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD7Y	B	3912	USD	CAD	USDCAD	7y	Outright
3913	TDCAD8M	Canadian Dollar To United States Dollar 8 Month Forward	Canada	FX	Refinitiv	Datastream	TDCAD8M	B	3913	USD	CAD	USDCAD	8m	Outright
3914	TDCAD8Y	Canadian Dollar To United States Dollar 8 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD8Y	B	3914	USD	CAD	USDCAD	8y	Outright
3915	TDCAD9Y	Canadian Dollar To United States Dollar 9 Year Forward	Canada	FX	Refinitiv	Datastream	TDCAD9Y	B	3915	USD	CAD	USDCAD	9y	Outright
3916	TDCADON	Canadian Dollar To United States Dollar Overnight	Canada	FX	Refinitiv	Datastream	TDCADON	B	3916	USD	CAD	USDCAD	ON	Outright
3917	TDCADSN	Canadian Dollar To United States Dollar Tomorrow-Next	Canada	FX	Refinitiv	Datastream	TDCADSN	B	3917	USD	CAD	USDCAD	TN	Outright
3918	TDCADTN	Canadian Dollar To United States Dollar Tomorrow-Next	Canada	FX	Refinitiv	Datastream	TDCADTN	B	3918	USD	CAD	USDCAD	TN	Outright
3919	TDCADXM	Canadian Dollar To United States Dollar 10 Month Forward	Canada	FX	Refinitiv	Datastream	TDCADXM	B	3919	USD	CAD	USDCAD	10m	Outright
3920	TDCADXY	Canadian Dollar To United States Dollar 10 Year Forward	Canada	FX	Refinitiv	Datastream	TDCADXY	B	3920	USD	CAD	USDCAD	10y	Outright
3921	TDCH15M	Swiss Franc To United States Dollar 15 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCH15M	B	3921	USD	CHF	USDCHF	15m	Outright
3922	TDCH18M	Swiss Franc To United States Dollar 18 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCH18M	B	3922	USD	CHF	USDCHF	18m	Outright
3923	TDCH21M	Swiss Franc To United States Dollar 21 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCH21M	B	3923	USD	CHF	USDCHF	21m	Outright
3924	TDCH30M	Swiss Franc To United States Dollar 30 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCH30M	B	3924	USD	CHF	USDCHF	30m	Outright
3925	TDCHF10	Swiss Franc To United States Dollar 10 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF10	B	3925	USD	CHF	USDCHF	10m	Outright
3926	TDCHF11	Swiss Franc To United States Dollar 11 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF11	B	3926	USD	CHF	USDCHF	11m	Outright
3927	TDCHF2Y	Swiss Franc To United States Dollar 2 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF2Y	B	3927	USD	CHF	USDCHF	2y	Outright
3928	TDCHF3Y	Swiss Franc To United States Dollar 3 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF3Y	B	3928	USD	CHF	USDCHF	3y	Outright
3929	TDCHF4M	Swiss Franc To United States Dollar 4 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF4M	B	3929	USD	CHF	USDCHF	4m	Outright
3930	TDCHF4Y	Swiss Franc To United States Dollar 4 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF4Y	B	3930	USD	CHF	USDCHF	4y	Outright
3931	TDCHF5M	Swiss Franc To United States Dollar 5 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF5M	B	3931	USD	CHF	USDCHF	5m	Outright
3932	TDCHF5Y	Swiss Franc To United States Dollar 5 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF5Y	B	3932	USD	CHF	USDCHF	5y	Outright
3933	TDCHF6Y	Swiss Franc To United States Dollar 6 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF6Y	B	3933	USD	CHF	USDCHF	6y	Outright
3934	TDCHF7M	Swiss Franc To United States Dollar 7 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF7M	B	3934	USD	CHF	USDCHF	7m	Outright
3935	TDCHF7Y	Swiss Franc To United States Dollar 7 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF7Y	B	3935	USD	CHF	USDCHF	7y	Outright
3936	TDCHF8M	Swiss Franc To United States Dollar 8 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF8M	B	3936	USD	CHF	USDCHF	8m	Outright
3937	TDCHF8Y	Swiss Franc To United States Dollar 8 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF8Y	B	3937	USD	CHF	USDCHF	8y	Outright
3938	TDCHF9Y	Swiss Franc To United States Dollar 9 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF9Y	B	3938	USD	CHF	USDCHF	9y	Outright
3939	TDCHFON	Swiss Franc To United States Dollar Overnight	Switzerland	FX	Refinitiv	Datastream	TDCHFON	B	3939	USD	CHF	USDCHF	ON	Outright
3940	TDCHFSN	Swiss Franc To United States Dollar Tomorrow-Next	Switzerland	FX	Refinitiv	Datastream	TDCHFSN	B	3940	USD	CHF	USDCHF	TN	Outright
3941	TDCHFTN	Swiss Franc To United States Dollar Tomorrow-Next	Switzerland	FX	Refinitiv	Datastream	TDCHFTN	B	3941	USD	CHF	USDCHF	TN	Outright
3942	TDCHFXY	Swiss Franc To United States Dollar 10 Year Forward	Switzerland	FX	Refinitiv	Datastream	TDCHFXY	B	3942	USD	CHF	USDCHF	10y	Outright
3943	TDCN10M	Chinese Yuan Offshore To United States Dollar 10 Month Forward	China	FX	Refinitiv	Datastream	TDCN10M	B	3943	USD	CNH	USDCNH	10m	Outright
3944	TDCN11M	Chinese Yuan Offshore To United States Dollar 11 Month Forward	China	FX	Refinitiv	Datastream	TDCN11M	B	3944	USD	CNH	USDCNH	11m	Outright
3945	TDCN18M	Chinese Yuan Offshore To United States Dollar 18 Month Forward	China	FX	Refinitiv	Datastream	TDCN18M	B	3945	USD	CNH	USDCNH	18m	Outright
3946	TDCNH2Y	Chinese Yuan Offshore To United States Dollar 2 Year Forward	China	FX	Refinitiv	Datastream	TDCNH2Y	B	3946	USD	CNH	USDCNH	2y	Outright
3947	TDCNH3Y	Chinese Yuan Offshore To United States Dollar 3 Year Forward	China	FX	Refinitiv	Datastream	TDCNH3Y	B	3947	USD	CNH	USDCNH	3y	Outright
3948	TDCNH4M	Chinese Yuan Offshore To United States Dollar 4 Month Forward	China	FX	Refinitiv	Datastream	TDCNH4M	B	3948	USD	CNH	USDCNH	4m	Outright
3949	TDCNH4Y	Chinese Yuan Offshore To United States Dollar 4 Year Forward	China	FX	Refinitiv	Datastream	TDCNH4Y	B	3949	USD	CNH	USDCNH	4y	Outright
3950	TDCNH5M	Chinese Yuan Offshore To United States Dollar 5 Month Forward	China	FX	Refinitiv	Datastream	TDCNH5M	B	3950	USD	CNH	USDCNH	5m	Outright
3951	TDCNH5Y	Chinese Yuan Offshore To United States Dollar 5 Year Forward	China	FX	Refinitiv	Datastream	TDCNH5Y	B	3951	USD	CNH	USDCNH	5y	Outright
3952	TDCNH7M	Chinese Yuan Offshore To United States Dollar 7 Month Forward	China	FX	Refinitiv	Datastream	TDCNH7M	B	3952	USD	CNH	USDCNH	7m	Outright
