# uid	ticker	name	region	category	provider	datasource	symbol	frequency	uid	foreign_currency	domestic_currency	bbid	maturity	type
3416	TDCHF3M	Swiss Franc To United States Dollar 3 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF3M	B	3416	USD	CHF	USDCHF	3m	Outright
3417	TDCHF3W	Swiss Franc To United States Dollar 3 Week Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF3W	B	3417	USD	CHF	USDCHF	3w	Outright
3418	TDCHF6M	Swiss Franc To United States Dollar 6 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF6M	B	3418	USD	CHF	USDCHF	6m	Outright
3419	TDCHF9M	Swiss Franc To United States Dollar 9 Month Forward	Switzerland	FX	Refinitiv	Datastream	TDCHF9M	B	3419	USD	CHF	USDCHF	9m	Outright
3420	TDCHFSP	Swiss Franc To United States Dollar Spot	Switzerland	FX	Refinitiv	Datastream	TDCHFSP	B	3420	USD	CHF	USDCHF	0m	Outright
3421	TDCLPSP	Chilean Peso To United States Dollar Spot	Chile	FX	Refinitiv	Datastream	TDCLPSP	B	3421	USD	CLP	USDCLP	0m	Outright
3422	TDCNH1M	Chinese Yuan Offshore To United States Dollar 1 Month Forward	China	FX	Refinitiv	Datastream	TDCNH1M	B	3422	USD	CNH	USDCNH	1m	Outright
3423	TDCNH1Y	Chinese Yuan Offshore To United States Dollar 1 Year Forward	China	FX	Refinitiv	Datastream	TDCNH1Y	B	3423	USD	CNH	USDCNH	1y	Outright
3424	TDCNH2M	Chinese Yuan Offshore To United States Dollar 2 Month Forward	China	FX	Refinitiv	Datastream	TDCNH2M	B	3424	USD	CNH	USDCNH	2m	Outright
3425	TDCNH2W	Chinese Yuan Offshore To United States Dollar 2 Week Forward	China	FX	Refinitiv	Datastream	TDCNH2W	B	3425	USD	CNH	USDCNH	2w	Outright
3426	TDCNH3M	Chinese Yuan Offshore To United States Dollar 3 Month Forward	China	FX	Refinitiv	Datastream	TDCNH3M	B	3426	USD	CNH	USDCNH	3m	Outright
3427	TDCNH3W	Chinese Yuan Offshore To United States Dollar 3 Week Forward	China	FX	Refinitiv	Datastream	TDCNH3W	B	3427	USD	CNH	USDCNH	3w	Outright
3428	TDCNH6M	Chinese Yuan Offshore To United States Dollar 6 Month Forward	China	FX	Refinitiv	Datastream	TDCNH6M	B	3428	USD	CNH	USDCNH	6m	Outright
3429	TDCNH9M	Chinese Yuan Offshore To United States Dollar 9 Month Forward	China	FX	Refinitiv	Datastream	TDCNH9M	B	3429	USD	CNH	USDCNH	9m	Outright
3430	TDCNHSP	Chinese Yuan Offshore To United States Dollar Spot	China	FX	Refinitiv	Datastream	TDCNHSP	B	3430	USD	CNH	USDCNH	0m	Outright
3431	TDCNY1M	Chinese Yuan Renminbi To United States Dollar 1 Month Forward	China	FX	Refinitiv	Datastream	TDCNY1M	B	3431	USD	CNY	USDCNY	1m	Outright
3432	TDCNY1W	Chinese Yuan Renminbi To United States Dollar 1 Week Forward	China	FX	Refinitiv	Datastream	TDCNY1W	B	3432	USD	CNY	USDCNY	1w	Outright
3433	TDCNY1Y	Chinese Yuan Renminbi To United States Dollar 12 Month Forward	China	FX	Refinitiv	Datastream	TDCNY1Y	B	3433	USD	CNY	USDCNY	12m	Outright
3434	TDCNY2M	Chinese Yuan Renminbi To United States Dollar 2 Month Forward	China	FX	Refinitiv	Datastream	TDCNY2M	B	3434	USD	CNY	USDCNY	2m	Outright
3435	TDCNY2W	Chinese Yuan Renminbi To United States Dollar 2 Week Forward	China	FX	Refinitiv	Datastream	TDCNY2W	B	3435	USD	CNY	USDCNY	2w	Outright
3436	TDCNY3M	Chinese Yuan Renminbi To United States Dollar 3 Month Forward	China	FX	Refinitiv	Datastream	TDCNY3M	B	3436	USD	CNY	USDCNY	3m	Outright
3437	TDCNY3W	Chinese Yuan Renminbi To United States Dollar 3 Week Forward	China	FX	Refinitiv	Datastream	TDCNY3W	B	3437	USD	CNY	USDCNY	3w	Outright
3438	TDCNY6M	Chinese Yuan Renminbi To United States Dollar 6 Month Forward	China	FX	Refinitiv	Datastream	TDCNY6M	B	3438	USD	CNY	USDCNY	6m	Outright
3439	TDCNY9M	Chinese Yuan Renminbi To United States Dollar 9 Month Forward	China	FX	Refinitiv	Datastream	TDCNY9M	B	3439	USD	CNY	USDCNY	9m	Outright
3440	TDCNYSP	Chinese Yuan Renminbi To United States Dollar Spot	China	FX	Refinitiv	Datastream	TDCNYSP	B	3440	USD	CNY	USDCNY	0m	Outright
3441	TDCOPSP	Colombian Peso To United States Dollar Spot	Colombia	FX	Refinitiv	Datastream	TDCOPSP	B	3441	USD	COP	USDCOP	0m	Outright
3442	TDCRCSP	Costa Rican Colon To United States Dollar Spot	Costa Rica	FX	Refinitiv	Datastream	TDCRCSP	B	3442	USD	CDF	USDCDF	0m	Outright
3443	TDCVESP	Cape Verdean Escudo To United States Dollar Spot	Cape Verde	FX	Refinitiv	Datastream	TDCVESP	B	3443	USD	CVE	USDCVE	0m	Outright
3444	TDCYPSP	Cyprian Pound To United States Dollar Spot	Cyprus	FX	Refinitiv	Datastream	TDCYPSP	B	3444	USD	CYP	USDCYP	0m	Outright
3445	TDCZK1M	Czech Koruna To United States Dollar 1 Month Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK1M	B	3445	USD	CZK	USDCZK	1m	Outright
3446	TDCZK1W	Czech Koruna To United States Dollar 1 Week Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK1W	B	3446	USD	CZK	USDCZK	1w	Outright
3447	TDCZK1Y	Czech Koruna To United States Dollar 12 Month Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK1Y	B	3447	USD	CZK	USDCZK	12m	Outright
3448	TDCZK2M	Czech Koruna To United States Dollar 2 Month Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK2M	B	3448	USD	CZK	USDCZK	2m	Outright
3449	TDCZK2W	Czech Koruna To United States Dollar 2 Week Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK2W	B	3449	USD	CZK	USDCZK	2w	Outright
3450	TDCZK3M	Czech Koruna To United States Dollar 3 Month Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK3M	B	3450	USD	CZK	USDCZK	3m	Outright
3451	TDCZK6M	Czech Koruna To United States Dollar 6 Month Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK6M	B	3451	USD	CZK	USDCZK	6m	Outright
3452	TDCZK9M	Czech Koruna To United States Dollar 9 Month Forward	Czech Republic	FX	Refinitiv	Datastream	TDCZK9M	B	3452	USD	CZK	USDCZK	9m	Outright
3453	TDCZKSP	Czech Koruna To United States Dollar Spot	Czech Republic	FX	Refinitiv	Datastream	TDCZKSP	B	3453	USD	CZK	USDCZK	0m	Outright
3454	TDDKK1M	Danish Krone To United States Dollar 1 Month Forward	Denmark	FX	Refinitiv	Datastream	TDDKK1M	B	3454	USD	DKK	USDDKK	1m	Outright
3455	TDDKK1W	Danish Krone To United States Dollar 1 Week Forward	Denmark	FX	Refinitiv	Datastream	TDDKK1W	B	3455	USD	DKK	USDDKK	1w	Outright
3456	TDDKK1Y	Danish Krone To United States Dollar 1 Year Forward	Denmark	FX	Refinitiv	Datastream	TDDKK1Y	B	3456	USD	DKK	USDDKK	1y	Outright
3457	TDDKK2M	Danish Krone To United States Dollar 2 Month Forward	Denmark	FX	Refinitiv	Datastream	TDDKK2M	B	3457	USD	DKK	USDDKK	2m	Outright
3458	TDDKK2W	Danish Krone To United States Dollar 2 Week Forward	Denmark	FX	Refinitiv	Datastream	TDDKK2W	B	3458	USD	DKK	USDDKK	2w	Outright
3459	TDDKK3M	Danish Krone To United States Dollar 3 Month Forward	Denmark	FX	Refinitiv	Datastream	TDDKK3M	B	3459	USD	DKK	USDDKK	3m	Outright
3460	TDDKK3W	Danish Krone To United States Dollar 3 Week Forward	Denmark	FX	Refinitiv	Datastream	TDDKK3W	B	3460	USD	DKK	USDDKK	3w	Outright
3461	TDDKK6M	Danish Krone To United States Dollar 6 Month Forward	Denmark	FX	Refinitiv	Datastream	TDDKK6M	B	3461	USD	DKK	USDDKK	6m	Outright
3462	TDDKK9M	Danish Krone To United States Dollar 9 Month Forward	Denmark	FX	Refinitiv	Datastream	TDDKK9M	B	3462	USD	DKK	USDDKK	9m	Outright
3463	TDDKKSP	Danish Krone To United States Dollar Spot	Denmark	FX	Refinitiv	Datastream	TDDKKSP	B	3463	USD	DKK	USDDKK	0m	Outright
3464	TDDOPSP	Dominican Peso To United States Dollar Spot	Dominican Republic	FX	Refinitiv	Datastream	TDDOPSP	B	3464	USD	DOP	USDDOP	0m	Outright
3465	TDDZDSP	Algerian Dinar To United States Dollar Spot	Algeria	FX	Refinitiv	Datastream	TDDZDSP	B	3465	USD	DZD	USDDZD	0m	Outright
3466	TDEEKSP	Estonian Kroon To United States Dollar Spot	Estonia	FX	Refinitiv	Datastream	TDEEKSP	B	3466	USD	EEK	USDEEK	0m	Outright
3467	TDEGPSP	Egyptian Pound To United States Dollar Spot	Egypt	FX	Refinitiv	Datastream	TDEGPSP	B	3467	USD	EGP	USDEGP	0m	Outright
